| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 158     | 1264      | 8                  | 1000000     | 100            | 1.707035e-03                 | 3.244876e-02           |
| gpu         | 159     | 1272      | 8                  | 1000000     | 100            | 1.709933e-03                 | 3.243168e-02           |
| gpu         | 160     | 1280      | 8                  | 1000000     | 100            | 1.709802e-03                 | 3.245166e-02           |
| gpu         | 161     | 1288      | 8                  | 1000000     | 100            | 1.713389e-03                 | 3.251595e-02           |
| gpu         | 162     | 1296      | 8                  | 1000000     | 100            | 1.711696e-03                 | 3.244345e-02           |
| gpu         | 163     | 1304      | 8                  | 1000000     | 100            | 1.711485e-03                 | 3.259719e-02           |
| gpu         | 164     | 1312      | 8                  | 1000000     | 100            | 1.710168e-03                 | 3.243337e-02           |
| gpu         | 165     | 1320      | 8                  | 1000000     | 100            | 1.711135e-03                 | 3.248693e-02           |
| gpu         | 166     | 1328      | 8                  | 1000000     | 100            | 1.711884e-03                 | 3.248842e-02           |
| gpu         | 167     | 1336      | 8                  | 1000000     | 100            | 1.709507e-03                 | 3.256396e-02           |
| gpu         | 168     | 1344      | 8                  | 1000000     | 100            | 1.707514e-03                 | 3.254178e-02           |
| gpu         | 169     | 1352      | 8                  | 1000000     | 100            | 1.710066e-03                 | 3.257281e-02           |
| gpu         | 170     | 1360      | 8                  | 1000000     | 100            | 1.707766e-03                 | 3.259177e-02           |
| gpu         | 171     | 1368      | 8                  | 1000000     | 100            | 1.707174e-03                 | 3.259985e-02           |
| gpu         | 172     | 1376      | 8                  | 1000000     | 100            | 1.708908e-03                 | 3.262344e-02           |
| gpu         | 173     | 1384      | 8                  | 1000000     | 100            | 1.710535e-03                 | 3.269532e-02           |
| gpu         | 174     | 1392      | 8                  | 1000000     | 100            | 1.710527e-03                 | 3.265952e-02           |
| gpu         | 175     | 1400      | 8                  | 1000000     | 100            | 1.710262e-03                 | 3.276131e-02           |
| gpu         | 176     | 1408      | 8                  | 1000000     | 100            | 1.710766e-03                 | 3.277566e-02           |
| gpu         | 177     | 1416      | 8                  | 1000000     | 100            | 1.711342e-03                 | 3.281318e-02           |
| gpu         | 178     | 1424      | 8                  | 1000000     | 100            | 1.708068e-03                 | 3.280680e-02           |
| gpu         | 179     | 1432      | 8                  | 1000000     | 100            | 1.710817e-03                 | 3.285892e-02           |
| gpu         | 180     | 1440      | 8                  | 1000000     | 100            | 1.711568e-03                 | 3.295275e-02           |
| gpu         | 181     | 1448      | 8                  | 1000000     | 100            | 1.710248e-03                 | 3.306204e-02           |
| gpu         | 182     | 1456      | 8                  | 1000000     | 100            | 1.709375e-03                 | 3.290375e-02           |
| gpu         | 183     | 1464      | 8                  | 1000000     | 100            | 1.710293e-03                 | 3.299221e-02           |
| gpu         | 184     | 1472      | 8                  | 1000000     | 100            | 1.711398e-03                 | 3.301672e-02           |
| gpu         | 185     | 1480      | 8                  | 1000000     | 100            | 1.712374e-03                 | 3.307410e-02           |
| gpu         | 186     | 1488      | 8                  | 1000000     | 100            | 1.708467e-03                 | 3.305584e-02           |
| gpu         | 187     | 1496      | 8                  | 1000000     | 100            | 1.711084e-03                 | 3.312011e-02           |
| gpu         | 188     | 1504      | 8                  | 1000000     | 100            | 1.708978e-03                 | 3.312806e-02           |
| gpu         | 189     | 1512      | 8                  | 1000000     | 100            | 1.712848e-03                 | 3.312345e-02           |
| gpu         | 190     | 1520      | 8                  | 1000000     | 100            | 1.712126e-03                 | 3.316491e-02           |
| gpu         | 191     | 1528      | 8                  | 1000000     | 100            | 1.712493e-03                 | 3.320709e-02           |
| gpu         | 192     | 1536      | 8                  | 1000000     | 100            | 1.709500e-03                 | 3.322689e-02           |
| gpu         | 193     | 1544      | 8                  | 1000000     | 100            | 1.715335e-03                 | 3.322423e-02           |
| gpu         | 194     | 1552      | 8                  | 1000000     | 100            | 1.713868e-03                 | 3.323208e-02           |
| gpu         | 195     | 1560      | 8                  | 1000000     | 100            | 1.718027e-03                 | 3.322139e-02           |
| gpu         | 196     | 1568      | 8                  | 1000000     | 100            | 1.714985e-03                 | 3.323522e-02           |
| gpu         | 197     | 1576      | 8                  | 1000000     | 100            | 1.719519e-03                 | 3.322562e-02           |
| gpu         | 198     | 1584      | 8                  | 1000000     | 100            | 1.719031e-03                 | 3.332688e-02           |
| gpu         | 199     | 1592      | 8                  | 1000000     | 100            | 1.717575e-03                 | 3.332434e-02           |
